"unit","frame","path","width","height","sha256"
"harang","attack_0","assets/sprites/characters/battle/frames/harang/attack_0.png","224","336","d42d109638b593321f922fb135c173154d6ca661b7ff0f69ea7fb19bd3e584e0"
"harang","attack_1","assets/sprites/characters/battle/frames/harang/attack_1.png","224","336","a6cbd3dbc9e988f1da30e371c0446a7789641d52bd03e06c66db9eb5db094a9a"
"harang","attack_2","assets/sprites/characters/battle/frames/harang/attack_2.png","224","336","54ab16cbcd5543d706e3038c93691157f3b7b79df9766418f94a56eee7a67bf0"
"harang","attack_3","assets/sprites/characters/battle/frames/harang/attack_3.png","224","336","22bbc9a937feda6966cb6f08ad4610d16b51e846484cbf0328ed491dfefbef31"
"harang","death_0","assets/sprites/characters/battle/frames/harang/death_0.png","224","336","9c8675d93bc35461e3746686a373e44768a3a313f683e1cda80429cec5639cc5"
"harang","death_1","assets/sprites/characters/battle/frames/harang/death_1.png","224","336","a2216397484be5181f27f653b85fb6c03c0dbc201c85423e5b677eaf1dd5be61"
"harang","death_2","assets/sprites/characters/battle/frames/harang/death_2.png","224","336","65e5c3677275003ddc46f740ea4f94b4ef3f9ca53dd0d61c0564fe466f85fa04"
"harang","death_3","assets/sprites/characters/battle/frames/harang/death_3.png","224","336","9d4770a1b18aa65688221fb70a78772b7e03dbd0ce8a84d6d5415cdadc3c5ecb"
"harang","hit_0","assets/sprites/characters/battle/frames/harang/hit_0.png","224","336","1a2a98e2f47d92421265ce8171dcf5acf73b4bc4c068be531d58def897b6ea93"
"harang","hit_1","assets/sprites/characters/battle/frames/harang/hit_1.png","224","336","5c269984f8a9469edb6a815db1f8184fd410e20ffe4b2f2dccf2dcdce48e72a8"
"harang","idle_0","assets/sprites/characters/battle/frames/harang/idle_0.png","224","336","8ed5e65277d92409a4be60cdefd4b90da9ccef85be1c9a6aa75630c272f029f3"
"harang","idle_1","assets/sprites/characters/battle/frames/harang/idle_1.png","224","336","e70d07b775a2e4658c7e698b342f22fdce875c37553caaea61f844804c9381c8"
"harang","idle_2","assets/sprites/characters/battle/frames/harang/idle_2.png","224","336","afc9e760736b5416f29072e0281f716d6bee67747f51e500b81ea3bc4778da96"
"harang","idle_3","assets/sprites/characters/battle/frames/harang/idle_3.png","224","336","fb6b2a7e2b7a31b33fce9feaf2bfa24f0348cca44b997d7ea06089c37bce8aa1"
"mina","attack_0","assets/sprites/characters/battle/frames/mina/attack_0.png","224","336","96ab933224e02749849ef5ffaf4514c71b94b55a3e118bfac5c7b0feaf145e4b"
"mina","attack_1","assets/sprites/characters/battle/frames/mina/attack_1.png","224","336","533d0ea51a824de0ce8671ec5a57e3acb163b8af63d590311d1b51cbddd1005f"
"mina","attack_2","assets/sprites/characters/battle/frames/mina/attack_2.png","224","336","e77b83fca9140bcda1845034865103baf1904b43a4c1af25c0c8525f3a104a08"
"mina","attack_3","assets/sprites/characters/battle/frames/mina/attack_3.png","224","336","4c51033731a5fe26c45e508b53c67c5398bd6dc988014a0e3e96d9f53165f390"
"mina","death_0","assets/sprites/characters/battle/frames/mina/death_0.png","224","336","f85e4836b176a185c11f7f57c600aacfab6aedffe6fcda5f610b57f2dde5e1ad"
"mina","death_1","assets/sprites/characters/battle/frames/mina/death_1.png","224","336","1a3a9acd25727a09ad0e5f03c84743c0921d307f05c4a3cfbb9477227799c147"
"mina","death_2","assets/sprites/characters/battle/frames/mina/death_2.png","224","336","47608b976ca56ad47a91c4bab8e16dfd41379d7816aaae8e09949583a33abc71"
"mina","death_3","assets/sprites/characters/battle/frames/mina/death_3.png","224","336","ae8686a804a3ede61256e8e0477309ad59f3bed30448ca1104e57965093c31e0"
"mina","hit_0","assets/sprites/characters/battle/frames/mina/hit_0.png","224","336","eb302d2f44bbaea59f7372e9824b5082a132e3c02fdba8504ac54a1d6e53c369"
"mina","hit_1","assets/sprites/characters/battle/frames/mina/hit_1.png","224","336","a9a89f7556aea8623709245d8a01201a05f4283c67aa4135b5e19d61684fe45e"
"mina","idle_0","assets/sprites/characters/battle/frames/mina/idle_0.png","224","336","60820044797f55ac5cbd5082a8cbb4492f0786d3b5f9cd21423721e69c3f727f"
"mina","idle_1","assets/sprites/characters/battle/frames/mina/idle_1.png","224","336","d565043554bcb33867b2c517a9cc1f257d9061c4e1f69c62e07d41e8c23890f1"
"mina","idle_2","assets/sprites/characters/battle/frames/mina/idle_2.png","224","336","be419f691f27ec2bc37488c1d821fd7b7b159f4cfd23e87fef5142bf95e64c9a"
"mina","idle_3","assets/sprites/characters/battle/frames/mina/idle_3.png","224","336","100c3ebc795fca1719c67949fb738cd29bd2929cc718077bc79cdc07a8c49d3d"
"seola","attack_0","assets/sprites/characters/battle/frames/seola/attack_0.png","224","336","3a0d37b985cc319de46833384d51d28ba80e7230a3fb0cdbee8c3cf4a41b6652"
